Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
2,0.9190833333333334,3,0.7523333333333333
2,0.9263666666666667,3,0.7648833333333334
2,0.91895,3,0.7568333333333334
2,0.9376,3,0.7860666666666667
2,0.9217333333333333,3,0.7918666666666667
2,0.9119833333333334,3,0.7378666666666667
2,0.8598333333333333,3,0.6441166666666667
2,0.9306,3,0.7687333333333334
2,0.9176166666666666,3,0.7649
2,0.9186333333333333,3,0.7676166666666666
2,0.85665,3,0.4866333333333333
2,0.9316166666666666,3,0.7405666666666667
2,0.91235,3,0.7791833333333333
3,0.81485,4,0.6261833333333333
3,0.87735,4,0.71995
3,0.8165666666666667,4,0.6091
2,0.931,3,0.7973
2,0.8996,3,0.7034666666666667
3,0.8160333333333334,4,0.56085
3,0.8301333333333333,4,0.6321666666666667
3,0.8102666666666667,4,0.62035
2,0.9117166666666666,3,0.7598
2,0.8989333333333334,3,0.7263
2,0.9077166666666666,3,0.6929333333333333
2,0.88905,3,0.6210666666666667
3,0.8634333333333334,4,0.6600833333333334
2,0.9138166666666667,3,0.7451833333333333
2,0.9102,3,0.7442666666666666
2,0.9202,3,0.78175
2,0.9132,3,0.7241
2,0.93515,3,0.7769166666666667
2,0.9131833333333333,3,0.6741833333333334
2,0.9242666666666667,3,0.7696666666666667
3,0.8063833333333333,4,0.5491333333333334
3,0.8250833333333333,4,0.6666833333333333
2,0.9200166666666667,3,0.71345
2,0.9268666666666666,3,0.7891
2,0.9236833333333333,3,0.7709166666666667
2,0.9020166666666667,3,0.7254
2,0.8938666666666667,3,0.59825
2,0.9217333333333333,3,0.77155
2,0.9312166666666667,3,0.7850833333333334
2,0.9000666666666667,3,0.7410166666666667
3,0.8019,4,0.56965
2,0.9258,3,0.7226333333333333
2,0.9108333333333334,3,0.6904666666666667
3,0.83465,4,0.6942666666666667
2,0.9199833333333334,3,0.7655
2,0.9112166666666667,3,0.67625
3,0.8117333333333333,4,0.6008833333333333
2,0.9214833333333333,3,0.73965
2,0.9353,3,0.7838833333333334
3,0.82305,4,0.5852666666666667
2,0.9142833333333333,3,0.7294666666666667
3,0.8216833333333333,4,0.6274666666666666
2,0.9219,3,0.7080333333333333
3,0.8432166666666666,4,0.6192333333333333
2,0.9394666666666667,3,0.7929
2,0.9169,3,0.7511833333333333
2,0.8738333333333334,3,0.629
2,0.9291333333333334,3,0.7779
2,0.9232833333333333,3,0.7516833333333334
2,0.9318833333333333,3,0.79175
2,0.92965,3,0.7663
2,0.91715,3,0.6945333333333333
2,0.92585,3,0.77655
2,0.9062666666666667,3,0.7242666666666666
3,0.8645166666666667,4,0.6811333333333334
3,0.82535,4,0.6159333333333333
3,0.8201166666666667,4,0.6905
2,0.8963166666666667,3,0.68525
2,0.90985,3,0.7593166666666666
2,0.9152166666666667,3,0.6802833333333334
3,0.80875,4,0.5967166666666667
3,0.8157666666666666,4,0.5979
2,0.92935,3,0.7949666666666667
2,0.91265,3,0.74685
2,0.914,3,0.6859833333333333
2,0.9332833333333334,3,0.7992
2,0.9017833333333334,3,0.6898333333333333
3,0.8167666666666666,4,0.6212833333333333
3,0.8118166666666666,4,0.60855
2,0.9212333333333333,3,0.7965833333333333
3,0.8469666666666666,4,0.6645166666666666
2,0.8985333333333333,3,0.7204166666666667
3,0.8472166666666666,4,0.6656166666666666
2,0.93985,3,0.7717666666666667
2,0.9275833333333333,3,0.79535
3,0.8203666666666667,4,0.5955833333333334
2,0.8532333333333333,3,0.6039
2,0.9305,3,0.7016833333333333
2,0.9257,3,0.751
2,0.9093833333333333,3,0.7528166666666667
2,0.882,3,0.6315333333333333
3,0.8199833333333333,4,0.6211666666666666
2,0.88705,3,0.6432166666666667
2,0.9239333333333334,3,0.7921666666666667
2,0.9360166666666667,3,0.7940166666666667
2,0.9002333333333333,3,0.633
3,0.8421666666666666,4,0.7001666666666667
