Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
3,0.814,4,0.6056666666666667
2,0.93165,3,0.7786833333333333
2,0.9180333333333334,3,0.7994333333333333
3,0.8057833333333333,4,0.6479166666666667
2,0.9327333333333333,3,0.7755166666666666
2,0.9200166666666667,3,0.6666333333333333
3,0.80085,4,0.60265
2,0.9326333333333333,3,0.7637333333333334
2,0.9160166666666667,3,0.74125
2,0.8814,3,0.6738833333333333
2,0.9145333333333333,3,0.78505
3,0.83055,4,0.6160166666666667
2,0.8999333333333334,3,0.7373166666666666
2,0.89625,3,0.68065
3,0.80875,4,0.6938666666666666
2,0.9347166666666666,3,0.7852666666666667
3,0.8009,4,0.6179166666666667
2,0.9074333333333333,3,0.71215
2,0.9131166666666667,3,0.7601333333333333
2,0.9178333333333333,3,0.7567666666666667
2,0.93315,3,0.7794833333333333
3,0.8183833333333334,4,0.63385
3,0.8100333333333334,4,0.5785333333333333
2,0.9371166666666667,3,0.7932333333333333
2,0.9097166666666666,3,0.7095
2,0.9142833333333333,3,0.73165
2,0.8786,3,0.6616166666666666
3,0.8004,4,0.5753666666666667
2,0.9295833333333333,3,0.7618
2,0.9052833333333333,3,0.6602333333333333
2,0.91785,3,0.7775833333333333
3,0.8341666666666666,4,0.6825
2,0.9006833333333333,3,0.67745
3,0.8578,4,0.6696833333333333
3,0.8055166666666667,4,0.5167666666666667
2,0.9032,3,0.7086833333333333
2,0.93315,3,0.7968833333333334
2,0.89765,3,0.7098166666666667
2,0.9218333333333333,3,0.77025
2,0.9358166666666666,3,0.70605
2,0.9327166666666666,3,0.7677
3,0.84505,4,0.6662833333333333
2,0.9011666666666667,3,0.7509
2,0.9273833333333333,3,0.7987333333333333
3,0.8,4,0.5495666666666666
2,0.8833666666666666,3,0.681
2,0.9036333333333333,3,0.7384666666666667
2,0.92895,3,0.7947166666666666
2,0.9064833333333333,3,0.69915
3,0.8047166666666666,4,0.6859166666666666
2,0.9284333333333333,3,0.7621333333333333
2,0.9338166666666666,3,0.79475
2,0.91355,3,0.7929666666666667
2,0.92735,3,0.7908166666666666
3,0.8266,4,0.6407333333333334
3,0.8452166666666666,4,0.6313
3,0.8522333333333333,4,0.6885166666666667
3,0.8350666666666666,4,0.65785
2,0.8403333333333334,3,0.47241666666666665
2,0.9118833333333334,3,0.7856166666666666
3,0.80585,4,0.5993333333333334
3,0.82405,4,0.5408333333333334
2,0.9006333333333333,3,0.6928166666666666
3,0.8129,4,0.6172666666666666
2,0.9175,3,0.7114
2,0.91205,3,0.77705
2,0.9179166666666667,3,0.798
2,0.8878833333333334,3,0.5952333333333333
2,0.91495,3,0.7003
2,0.9041333333333333,3,0.721
2,0.8936666666666667,3,0.66335
2,0.9124833333333333,3,0.7560333333333333
3,0.8206666666666667,4,0.6588666666666667
2,0.9238333333333333,3,0.7866666666666666
2,0.9207666666666666,3,0.7547833333333334
2,0.9148666666666667,3,0.7519
2,0.9217,3,0.7757
2,0.9235166666666667,3,0.7995
3,0.8122666666666667,4,0.6203333333333333
2,0.92175,3,0.79685
3,0.8232,4,0.6330666666666667
2,0.9132,3,0.78445
2,0.9279333333333334,3,0.7891333333333334
3,0.8064666666666667,4,0.5437
3,0.8278,4,0.5916666666666667
2,0.8977,3,0.7153
2,0.9246833333333333,3,0.766
2,0.8931,3,0.6378166666666667
3,0.8036333333333333,4,0.5953666666666667
2,0.9337166666666666,3,0.7643333333333333
3,0.8480333333333333,4,0.6571333333333333
2,0.9008333333333334,3,0.7289166666666667
2,0.9368333333333333,3,0.79665
3,0.8046,4,0.5659833333333333
2,0.9184166666666667,3,0.7692666666666667
3,0.8137666666666666,4,0.57245
2,0.9290666666666667,3,0.7511833333333333
2,0.9249333333333334,3,0.77625
3,0.8184166666666667,4,0.58515
2,0.9165833333333333,3,0.7381666666666666
