Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
2,0.8471666666666666,3,0.5758666666666666
2,0.8788166666666667,3,0.46686666666666665
2,0.8463833333333334,3,0.5198
1,0.98365,2,0.7666666666666667
2,0.8144333333333333,3,0.4128
1,0.9835833333333334,2,0.7793
2,0.8749166666666667,3,0.5393833333333333
2,0.8699,3,0.5369166666666667
2,0.8440833333333333,3,0.5498166666666666
2,0.85755,3,0.48673333333333335
2,0.8849833333333333,3,0.6096166666666667
2,0.8887,3,0.5610333333333334
2,0.8770333333333333,3,0.5915833333333333
2,0.8984833333333333,3,0.5505833333333333
2,0.8583833333333334,3,0.6240833333333333
2,0.9036333333333333,3,0.6863833333333333
2,0.9047666666666667,3,0.6117333333333334
2,0.8643666666666666,3,0.5293333333333333
2,0.8888833333333334,3,0.5558833333333333
2,0.9248,3,0.62105
1,0.9839833333333333,2,0.7372666666666666
2,0.9000833333333333,3,0.6584833333333333
2,0.8746166666666667,3,0.5914833333333334
2,0.8762666666666666,3,0.59675
2,0.8648333333333333,3,0.5664333333333333
1,0.9820833333333333,2,0.7398166666666667
2,0.9238333333333333,3,0.6892333333333334
2,0.8044333333333333,3,0.5263166666666667
2,0.8697666666666667,3,0.6020666666666666
2,0.8323833333333334,3,0.5597833333333333
2,0.8733,3,0.6153
2,0.8418333333333333,3,0.4741166666666667
2,0.83435,3,0.47231666666666666
2,0.9072333333333333,3,0.6592
2,0.8827666666666667,3,0.5404166666666667
1,0.9812666666666666,2,0.7934166666666667
2,0.8700166666666667,3,0.5625166666666667
2,0.82545,3,0.5569
2,0.8721833333333333,3,0.5869166666666666
1,0.98255,2,0.7444666666666667
1,0.9855166666666667,2,0.78665
2,0.8832166666666666,3,0.5590333333333334
2,0.8194,3,0.50295
2,0.8013833333333333,3,0.4399
2,0.8844333333333333,3,0.6214166666666666
2,0.8737666666666667,3,0.5496
2,0.89165,3,0.611
1,0.9828,2,0.7344166666666667
2,0.90045,3,0.576
2,0.8306666666666667,3,0.5401166666666667
2,0.8343166666666667,3,0.43785
2,0.8239833333333333,3,0.5204833333333333
2,0.8432833333333334,3,0.48743333333333333
2,0.8176666666666667,3,0.5162333333333333
2,0.8711166666666667,3,0.55905
1,0.9850333333333333,2,0.7872166666666667
2,0.8441666666666666,3,0.53195
2,0.88575,3,0.6474333333333333
2,0.84195,3,0.53135
2,0.8365,3,0.54935
2,0.8810666666666667,3,0.61445
1,0.98205,2,0.7793166666666667
2,0.8845,3,0.6408666666666667
2,0.88265,3,0.64085
2,0.8779166666666667,3,0.5559666666666667
2,0.90805,3,0.6383833333333333
2,0.8195666666666667,3,0.47686666666666666
2,0.83395,3,0.46186666666666665
2,0.8103833333333333,3,0.5435666666666666
2,0.8874666666666666,3,0.59555
2,0.8149333333333333,3,0.46295
2,0.8847833333333334,3,0.5818666666666666
2,0.8088666666666666,3,0.5533166666666667
2,0.8492333333333333,3,0.495
2,0.8239166666666666,3,0.5238666666666667
2,0.8383833333333334,3,0.4999166666666667
2,0.8684,3,0.61865
2,0.89605,3,0.5753666666666667
2,0.9204666666666667,3,0.6790666666666667
2,0.9140333333333334,3,0.6331333333333333
2,0.8791833333333333,3,0.6194833333333334
1,0.9824166666666667,2,0.7439166666666667
2,0.8747166666666667,3,0.5871166666666666
2,0.9028666666666667,3,0.5962666666666666
2,0.86495,3,0.5799166666666666
2,0.8199666666666666,3,0.5042166666666666
2,0.8466,3,0.5136333333333334
2,0.8680166666666667,3,0.55305
2,0.8590166666666667,3,0.497
2,0.9062166666666667,3,0.6871
2,0.8733333333333333,3,0.4799333333333333
2,0.8837333333333334,3,0.5865833333333333
2,0.8438666666666667,3,0.5149666666666667
2,0.9155666666666666,3,0.6568
2,0.8271166666666666,3,0.4823
2,0.8887833333333334,3,0.6055166666666667
1,0.9852333333333333,2,0.7973833333333333
2,0.8356333333333333,3,0.5513166666666667
2,0.8554333333333334,3,0.5680333333333333
2,0.8950666666666667,3,0.6459333333333334
